matchID,timestamp,class,glbrksavepct,glbrksaves,glbrkshots,gldsaves,glga,glgaa,glpensavepct,glpensaves,glpenshots,glpkclearzone,glpokechecks,glsavepct,glsaves,glshots,glsoperiods,isGuest,opponentClubId,opponentScore,opponentTeamId,player_dnf,playerLevel,pNhlOnlineGameType,position,posSorted,ratingDefense,ratingOffense,ratingTeamplay,score,skassists,skbs,skdeflections,skfol,skfopct,skfow,skgiveaways,skgoals,skgwg,skhits,skinterceptions,skpassattempts,skpasses,skpasspct,skpenaltiesdrawn,skpim,skpkclearzone,skplusmin,skpossession,skppg,sksaucerpasses,skshg,skshotattempts,skshotonnetpct,skshotpct,skshots,sktakeaways,teamId,teamSide,toi,toiseconds,playername,clientPlatform
2424298950147,1702613314,2,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,1,1656,4,500,0,73,5,rightWing,3,60.00,95.00,65.00,2,2,0,0,0,0.00,0,12,0,0,3,5,19,7,36.84,0,0,0,-2,368,0,0,0,5,60.00,0.00,3,5,501,1,60,3598,CorSnortzky,ps5
2424298950147,1702613314,21,1.00,2,2,0,4,4.00,0.00,0,0,0,0,0.78,14,18,0,1,1656,4,500,0,141,5,goalie,0,70.00,60.00,40.00,2,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,501,1,60,3600,Benzymcnasty,xbsx
2424298950147,1702613314,15,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,0,1656,4,500,0,106,5,defenseMen,2,65.00,60.00,85.00,2,0,0,0,0,0.00,0,10,0,0,5,2,24,19,79.17,2,0,0,-2,207,0,0,0,1,0.00,0.00,0,1,501,1,60,3600,Scalprr,xbsx
2424298950147,1702613314,2,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,1,1656,4,500,0,59,5,leftWing,4,55.00,80.00,45.00,2,0,0,0,0,0.00,0,14,1,0,2,4,26,17,65.38,0,4,0,-2,203,0,0,0,6,100.00,16.67,6,4,501,1,56,3362,mhook1797,ps5
2424298950147,1702613314,1,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,0,1656,4,500,0,80,5,center,5,70.00,100.00,100.00,2,0,0,0,18,45.45,15,14,1,0,14,8,24,19,79.17,0,0,0,-2,191,0,0,0,3,66.67,50.00,2,7,501,1,60,3600,iZinczyi,xbsx
2424298950147,1702613314,15,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,1,1656,4,500,0,80,5,defenseMen,1,80.00,80.00,65.00,2,2,0,0,0,0.00,0,7,0,0,2,7,19,14,73.68,1,0,0,-2,313,0,0,0,2,100.00,0.00,2,1,501,1,60,3600,xCree10-,ps5
2424298950147,1702613314,1,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,1,60,2,501,0,74,5,leftWing,4,75.00,100.00,75.00,4,2,1,0,0,0.00,0,8,2,0,5,6,19,12,63.16,1,0,0,2,190,0,0,0,5,100.00,40.00,5,6,500,0,60,3600,SweatedOrb5,xbsx
2424298950147,1702613314,6,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,1,60,2,501,0,58,5,rightWing,3,65.00,100.00,40.00,4,1,0,0,0,0.00,0,11,2,1,5,7,16,10,62.50,0,4,1,2,220,0,0,0,6,100.00,33.33,6,4,500,0,56,3362,lCLuTcH GoDz,xbsx
2424298950147,1702613314,1,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,0,60,2,501,0,59,5,center,5,100.00,80.00,85.00,4,2,1,1,15,54.55,18,0,0,0,2,6,20,18,90.00,1,0,0,2,169,0,0,0,1,100.00,0.00,1,4,500,0,60,3600,DevNastyy,xbsx
2424298950147,1702613314,15,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0.00,0,0,0,1,60,2,501,0,135,5,defenseMen,2,100.00,70.00,80.00,4,1,0,0,0,0.00,0,11,0,0,8,12,24,17,70.83,1,0,1,2,146,0,0,0,0,0.00,0.00,0,8,500,0,60,3600,rahzki,xbsx
