matchID,timestamp,class,glbrksavepct,glbrksaves,glbrkshots,gldsaves,glga,glgaa,glpensavepct,glpensaves,glpenshots,glpkclearzone,glpokechecks,glsavepct,glsaves,glshots,glsoperiods,isGuest,opponentClubId,opponentScore,opponentTeamId,player_dnf,playerLevel,pNhlOnlineGameType,position,posSorted,ratingDefense,ratingOffense,ratingTeamplay,score,skassists,skbs,skdeflections,skfol,skfopct,skfow,skgiveaways,skgoals,skgwg,skhits,skinterceptions,skpassattempts,skpasses,skpasspct,skpenaltiesdrawn,skpim,skpkclearzone,skplusmin,skpossession,skppg,sksaucerpasses,skshg,skshotattempts,skshotonnetpct,skshotpct,skshots,sktakeaways,teamId,teamSide,toi,toiseconds,playername,clientPlatform,Teams_x,TeamID_x,Teams_y,TeamID_y,Teams,TeamID
2.41887E+12,2023-12-14 21:55:55-05:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,501,0,128,5,defenseMen,1,75,75,60,2,0,2,0,0,0,0,6,1,0,4,5,20,16,80,0,2,0,0,138,0,0,0,2,50,100,1,5,500,0,59,3549,jesslecrazy,xbsx,,,,,Art of Execution,1656
2.41887E+12,2023-12-14 21:55:55-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,501,0,143,5,defenseMen,2,85,60,35,2,0,0,0,0,0,0,8,0,0,5,4,20,15,75,0,4,1,0,293,0,1,0,1,100,0,1,3,500,0,57,3416,Darcou x 97,xbsx,,,,,Art of Execution,1656
2.41887E+12,2023-12-14 21:55:55-05:00,21,0,0,1,0,3,3,0,0,0,0,0,0.79,11,14,0,0,1656,3,501,0,84,5,goalie,0,75,65,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,60,3600,l POULIN l,xbsx,,,,,Art of Execution,1656
2.41868E+12,2023-12-14 21:29:04-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1656,3,500,0,169,5,rightWing,3,60,100,80,5,2,0,0,0,100,1,8,2,0,6,5,16,9,56.25,0,0,0,1,304,0,0,0,5,60,66.67,3,4,501,1,60,3600,Snails14,xbsx,,,,,Art of Execution,1656
2.41868E+12,2023-12-14 21:29:04-05:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,500,0,216,5,leftWing,4,60,100,70,5,0,1,0,0,0,0,4,3,0,6,2,16,10,62.5,0,0,0,1,241,1,0,0,6,83.33,60,5,2,501,1,60,3600,Dxbois,xbsx,,,,,Art of Execution,1656
2.41868E+12,2023-12-14 21:29:04-05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,500,0,121,5,center,5,80,60,75,5,0,0,0,12,47.83,11,6,0,0,6,1,7,5,71.43,2,2,0,1,78,0,0,0,1,100,0,1,1,501,1,58,3481,MGKPOWER,xbsx,,,,,Art of Execution,1656
2.41868E+12,2023-12-14 21:29:04-05:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,500,0,128,5,defenseMen,1,70,70,80,5,1,2,0,0,0,0,3,0,0,9,2,17,15,88.24,0,0,0,1,142,0,0,0,0,0,0,0,1,501,1,60,3600,jesslecrazy,xbsx,,,,,Art of Execution,1656
2.41868E+12,2023-12-14 21:29:04-05:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,3,500,0,143,5,defenseMen,2,95,75,70,5,1,1,1,0,0,0,6,0,0,4,1,21,16,76.19,0,0,0,1,309,0,2,0,3,166.67,0,5,1,501,1,60,3600,Darcou x 97,xbsx,,,,,Art of Execution,1656
2.41868E+12,2023-12-14 21:29:04-05:00,21,0,0,0,0,3,3,0,0,0,0,0,0.77,10,13,0,0,1656,3,500,0,84,5,goalie,0,80,55,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,1,60,3600,l POULIN l,xbsx,,,,,Art of Execution,1656
2.4243E+12,2023-12-14 23:08:34-05:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1656,4,500,0,73,5,rightWing,3,60,95,65,2,2,0,0,0,0,0,12,0,0,3,5,19,7,36.84,0,0,0,-2,368,0,0,0,5,60,0,3,5,501,1,60,3598,CorSnortzky,ps5,,,,,Art of Execution,1656
